key,details.Food and drink.category,details.Food and drink.names,details.Food and drink.reopen_dates,details.Houses of worship.category,details.Houses of worship.names,details.Houses of worship.reopen_dates,details.Industries.category,details.Industries.names,details.Industries.reopen_dates,details.Personal care.category,details.Personal care.names,details.Personal care.reopen_dates,details.Retail.category,details.Retail.names,details.Retail.reopen_dates,details.Outdoor and recreation.category,details.Outdoor and recreation.names,details.Outdoor and recreation.reopen_dates,details.Entertainment.category,details.Entertainment.reopen_dates,details.Entertainment.names,state_postal,stay_at_home.expires,stay_at_home.expires_display,stay_at_home.expires_today,stay_at_home.expiring_soon,stay_at_home.had_order,stay_at_home.has_expired,stay_at_home.name,stay_at_home.starts,stay_at_home.starts_display,reopen_dates_all.0
Alabama,Food and drink,"[""Restaurant dining, bars and breweries""]","[""5/11/2020""]",,,,,,,Personal care,"[""Salons""]","[""5/11/2020""]",Retail,"[""Retail stores""]","[""4/30/2020""]",Outdoor and recreation,"[""Beaches"",""Gyms""]","[""4/30/2020"",""5/11/2020""]",Entertainment,"[""5/22/2020""]","[""Entertainment venues""]",AL,4/30/2020,April 30,false,false,true,true,Stay-at-home order,4/4/2020,April 4,4/30/2020
Alaska,Food and drink,"[""Restaurant dining"",""Bars""]","[""4/24/2020"",""5/8/2020""]",,,,,,,Personal care,"[""Hair salons, barbershops, nail salons etc.""]","[""4/24/2020""]",Retail,"[""Retail stores""]","[""4/24/2020""]",Outdoor and recreation,"[""Gyms"",""Pools""]","[""4/24/2020"",""5/8/2020""]",Entertainment,"[""5/8/2020"",""5/8/2020"",""5/8/2020"",""5/8/2020""]","[""Libraries"",""Theaters"",""Bowling alleys"",""Museums""]",AK,4/24/2020,April 24,false,false,true,true,Stay-at-home order,3/28/2020,March 28,4/24/2020
Arizona,Food and drink,"[""Restaurant dining""]","[""5/11/2020""]",,,,,,,Personal care,"[""Barbershops, salons, etc.""]","[""5/8/2020""]",Retail,"[""Retail stores""]","[""5/8/2020""]",Outdoor and recreation,"[""Pools, gyms, spas""]","[""5/13/2020""]",Entertainment,"[""5/15/2020""]","[""Casinos""]",AZ,5/15/2020,May 15,false,false,true,true,Stay-at-home order,3/31/2020,March 31,5/8/2020
Arkansas,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/11/2020"",""5/26/2020""]",,,,,,,Personal care,"[""Hair salons, barbershops, nail salons etc.""]","[""5/6/2020""]",,,,Outdoor and recreation,"[""Campgrounds"",""Gyms"",""Pools""]","[""5/1/2020"",""5/4/2020"",""5/22/2020""]",Entertainment,"[""5/18/2020"",""5/18/2020"",""6/15/2020""]","[""Theaters, stadiums, museums, bowling alleys"",""Casinos"",""Large venues""]",AR,,,,,,,,,,5/6/2020
California,Food and drink,"[""Restaurant dining in some counties"",""Bars in some counties""]","[""5/12/2020"",""6/12/2020""]",Houses of worship,[],"[""5/25/2020""]",Industries,"[""Manufacturing"",""Warehouses"",""Offices"",""Movie, TV and music production""]","[""5/8/2020"",""5/8/2020"",""5/12/2020"",""6/12/2020""]",Personal care,"[""Pet groomers"",""Hair salons and barbershops in some counties""]","[""5/12/2020"",""5/26/2020""]",Retail,"[""Retail""]","[""5/25/2020""]",Outdoor and recreation,"[""Gyms in some counties""]","[""6/12/2020""]",Entertainment,"[""6/12/2020"",""6/12/2020"",""6/12/2020""]","[""Casinos in some counties"",""Museums, galleries, zoos, aquariums in some counties"",""Bowling alleys, arcades, mini golf""]",CA,,,false,false,true,false,Stay-at-home order,3/19/2020,March 19,5/25/2020
Colorado,Food and drink,"[""Restaurants dining""]","[""5/27/2020""]",,,,Industries,"[""Offices"",""Manufacturing""]","[""5/4/2020"",""5/4/2020""]",Personal care,"[""Salons and personal services""]","[""5/1/2020""]",Retail,"[""Retail stores""]","[""5/1/2020""]",Outdoor and recreation,"[""Campgrounds"",""Pools, playgrounds"",""Gyms""]","[""5/12/2020"",""6/4/2020"",""6/4/2020""]",,,,CO,4/26/2020,April 26,false,false,true,true,Stay-at-home order,3/26/2020,March 26,4/27/2020
Connecticut,Food and drink,"[""Restaurants dining""]","[""6/17/2020""]",,,,Industries,"[""Offices""]","[""5/20/2020""]",Personal care,"[""Hair salons, barbershops"",""Nail salons"",""Tattoo parlors, spas""]","[""6/1/2020"",""6/17/2020"",""6/17/2020""]",Retail,"[""Retail stores, malls""]","[""5/20/2020""]",Outdoor and recreation,"[""Beaches"",""Gyms""]","[""5/22/2020"",""6/17/2020""]",Entertainment,"[""5/20/2020"",""5/30/2020"",""6/17/2020"",""6/17/2020"",""6/17/2020""]","[""Museums, zoos"",""Casinos"",""Movie theaters"",""Libraries"",""Amusement parks, bowling alleys""]",CT,5/20/2020,May 20,false,false,true,true,Stay-at-home order,3/23/2020,March 23,5/20/2020
Delaware,Food and drink,"[""Farmers markets"",""Restaurants, bars and breweries""]","[""5/15/2020"",""6/1/2020""]",,,,,,,Personal care,"[""Barber shops, hair salons, tanning salons"",""Nail salons, tattoo parlors, massage therapy""]","[""6/1/2020"",""6/8/2020""]",Retail,"[""Retail stores"",""Malls""]","[""6/1/2020"",""6/1/2020""]",Outdoor and recreation,"[""Beaches"",""Pools"",""Gyms""]","[""5/22/2020"",""5/22/2020"",""6/1/2020""]",Entertainment,"[""6/1/2020"",""6/1/2020""]","[""Museums, libraries, galleries, live performances"",""Casinos""]",DE,5/31/2020,May 31,false,false,true,true,Shelter in place,3/24/2020,March 24,6/1/2020
District of Columbia,Food and drink,"[""Restaurants open for outdoor dining""]","[""5/29/2020""]",,,,,,,Personal care,"[""Barbershops, hair salons""]","[""5/29/2020""]",Retail,"[""Retail stores open to curbside pickup""]","[""5/29/2020""]",Outdoor and recreation,"[""Dog parks, golf courses, tennis courts, parks""]","[""5/29/2020""]",Entertainment,"[""5/29/2020""]","[""Libraries open to curbside pickup""]",DC,5/29/2020,May 29,false,false,true,true,Stay-at-home order,4/1/2020,April 1,5/29/2020
Florida,Food and drink,"[""Restaurant dining"",""Bars in most counties""]","[""5/4/2020"",""6/5/2020""]",Houses of worship,[],"[""5/4/2020""]",,,,Personal care,"[""Tattoo parlors, massage therapy, tanning salons, acupuncture in most counties""]","[""6/5/2020""]",Retail,"[""Retail stores""]","[""5/4/2020""]",Outdoor and recreation,"[""Beaches, trails"",""Gyms""]","[""5/4/2020"",""5/18/2020""]",Entertainment,"[""5/4/2020"",""6/5/2020""]","[""Sporting venues without spectators"",""Movie theaters, concert halls, bowling alleys in most counties""]",FL,5/4/2020,May 4,false,false,true,true,Stay-at-home order,4/3/2020,April 3,5/4/2020
