key,details.Food and drink.category,details.Food and drink.names,details.Food and drink.reopen_dates,details.Houses of worship.category,details.Houses of worship.names,details.Houses of worship.reopen_dates,details.Industries.category,details.Industries.names,details.Industries.reopen_dates,details.Personal care.category,details.Personal care.names,details.Personal care.reopen_dates,details.Retail.category,details.Retail.names,details.Retail.reopen_dates,details.Outdoor and recreation.category,details.Outdoor and recreation.names,details.Outdoor and recreation.reopen_dates,details.Entertainment.category,details.Entertainment.reopen_dates,details.Entertainment.names,details_closed.Food and drink.category,details_closed.Food and drink.names,details_closed.Food and drink.reopen_dates,details_closed.Houses of worship.category,details_closed.Houses of worship.names,details_closed.Houses of worship.reopen_dates,details_closed.Industries.category,details_closed.Industries.names,details_closed.Industries.reopen_dates,details_closed.Personal care.category,details_closed.Personal care.names,details_closed.Personal care.reopen_dates,details_closed.Retail.category,details_closed.Retail.names,details_closed.Retail.reopen_dates,details_closed.Outdoor and recreation.category,details_closed.Outdoor and recreation.names,details_closed.Outdoor and recreation.reopen_dates,details_closed.Entertainment.category,details_closed.Entertainment.reopen_dates,details_closed.Entertainment.names,state_postal,stay_at_home.expires,stay_at_home.expires_display,stay_at_home.expires_today,stay_at_home.expiring_soon,stay_at_home.had_order,stay_at_home.has_expired,stay_at_home.name,stay_at_home.starts,stay_at_home.starts_display,reopen_dates_all.0
Alabama,Food and drink,"[""Restaurant dining, bars and breweries""]","[""5/11/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Salons""]","[""5/11/2020""]",Retail,"[""Retail stores""]","[""4/30/2020""]",Outdoor and recreation,"[""Beaches"",""Gyms""]","[""4/30/2020"",""5/11/2020""]",Entertainment,"[""5/22/2020""]","[""Entertainment venues""]",,,,,,,,,,,,,,,,,,,,,,AL,4/30/2020,April 30,false,false,true,true,Stay-at-home order,4/4/2020,April 4,4/30/2020
Alaska,Food and drink,"[""Restaurant dining"",""Bars""]","[""4/24/2020"",""5/8/2020""]",Houses of worship,[],"[""4/24/2020""]",,,,Personal care,"[""Hair salons, barbershops, nail salons, etc.""]","[""4/24/2020""]",Retail,"[""Retail stores""]","[""4/24/2020""]",Outdoor and recreation,"[""Gyms"",""Pools""]","[""4/24/2020"",""5/8/2020""]",Entertainment,"[""5/8/2020"",""5/8/2020"",""5/8/2020"",""5/8/2020""]","[""Libraries"",""Theaters"",""Bowling alleys"",""Museums""]",,,,,,,,,,,,,,,,,,,,,,AK,4/24/2020,April 24,false,false,true,true,Stay-at-home order,3/28/2020,March 28,4/24/2020
Arizona,Food and drink,"[""Restaurant dining""]","[""5/11/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Barbershops, salons, etc.""]","[""5/8/2020""]",Retail,"[""Retail stores""]","[""5/8/2020""]",Outdoor and recreation,"[""Pools, spas""]","[""5/13/2020""]",Entertainment,"[""5/15/2020""]","[""Casinos""]",Food and drink,"[""Bars""]","[""6/29/2020""]",,,,,,,,,,,,,Outdoor and recreation,"[""Gyms"",""Waterparks""]","[""6/29/2020"",""6/29/2020""]",Entertainment,"[""6/29/2020""]","[""Movie theaters""]",AZ,5/15/2020,May 15,false,false,true,true,Stay-at-home order,3/31/2020,March 31,5/8/2020
Arkansas,Food and drink,"[""Restaurant dining"",""Bars""]","[""5/11/2020"",""5/26/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Hair salons, barbershops, nail salons, etc.""]","[""5/6/2020""]",Retail,"[""Retail""]","[""""]",Outdoor and recreation,"[""Campgrounds"",""Gyms"",""Pools""]","[""5/1/2020"",""5/4/2020"",""5/22/2020""]",Entertainment,"[""5/18/2020"",""5/18/2020"",""6/15/2020""]","[""Theaters, stadiums, museums, bowling alleys"",""Casinos"",""Large venues""]",,,,,,,,,,,,,,,,,,,,,,AR,,,,,,,,,,5/6/2020
California,Food and drink,"[""Outdoor dining""]","[""7/13/2020""]",Houses of worship,"[""Houses of worship in some counties""]","[""5/25/2020""]",Industries,"[""Manufacturing"",""Warehouses"",""Offices in some counties"",""Movie, TV and music production""]","[""5/8/2020"",""5/8/2020"",""5/12/2020"",""6/12/2020""]",Personal care,"[""Pet groomers"",""Hair salons and barbershops in some counties"",""Nail salons, cosmetology services, tattoo parlors, piercing shops in some counties"",""Hair salons and barbershops for outdoor service in most counties""]","[""5/12/2020"",""5/26/2020"",""6/19/2020"",""7/21/2020""]",Retail,"[""Retail""]","[""5/25/2020""]",Outdoor and recreation,"[""Gyms in some counties""]","[""6/12/2020""]",Entertainment,"[""6/12/2020"",""6/12/2020""]","[""Casinos in some areas"",""Zoos in some counties""]",Food and drink,"[""Bars""]","[""7/13/2020""]",,,,,,,,,,,,,,,,Entertainment,"[""7/13/2020"",""7/13/2020"",""7/13/2020""]","[""Movie theaters"",""Museums, galleries, and aquariums"",""Arcades and bowling alleys""]",CA,,,false,false,true,false,Stay-at-home order,3/19/2020,March 19,5/25/2020
Colorado,Food and drink,"[""Restaurant dining""]","[""5/27/2020""]",Houses of worship,[],"[""""]",Industries,"[""Offices"",""Manufacturing""]","[""5/4/2020"",""5/4/2020""]",Personal care,"[""Salons and personal services""]","[""5/1/2020""]",Retail,"[""Retail stores""]","[""5/1/2020""]",Outdoor and recreation,"[""Campgrounds"",""Pools, playgrounds"",""Gyms""]","[""5/12/2020"",""6/4/2020"",""6/4/2020""]",Entertainment,"[""6/18/2020"",""6/18/2020"",""7/1/2020""]","[""Museums, indoor events"",""Fairs, rodeos, concerts, outdoor events"",""Libraries""]",Food and drink,"[""Bars""]","[""6/30/2020""]",,,,,,,,,,,,,,,,Entertainment,"[""3/16/2020""]","[""Casinos""]",CO,4/26/2020,April 26,false,false,true,true,Stay-at-home order,3/26/2020,March 26,4/27/2020
Connecticut,Food and drink,"[""Restaurant dining""]","[""6/17/2020""]",Houses of worship,[],"[""""]",Industries,"[""Offices""]","[""5/20/2020""]",Personal care,"[""Hair salons, barbershops"",""Nail salons"",""Tattoo parlors, spas""]","[""6/1/2020"",""6/17/2020"",""6/17/2020""]",Retail,"[""Retail stores, malls""]","[""5/20/2020""]",Outdoor and recreation,"[""Beaches"",""Gyms"",""State campgrounds""]","[""5/22/2020"",""6/17/2020"",""7/8/2020""]",Entertainment,"[""5/20/2020"",""5/30/2020"",""6/17/2020"",""6/17/2020"",""6/17/2020""]","[""Museums, zoos"",""Casinos"",""Movie theaters"",""Libraries"",""Amusement parks, bowling alleys""]",Food and drink,"[""Bars""]","[""3/16/2020""]",,,,,,,,,,,,,,,,,,,CT,5/20/2020,May 20,false,false,true,true,Stay-at-home order,3/23/2020,March 23,5/20/2020
Delaware,Food and drink,"[""Farmers markets"",""Restaurants"",""Bars in some areas""]","[""5/15/2020"",""6/1/2020"",""6/1/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Barber shops, hair salons, tanning salons"",""Nail salons, tattoo parlors, massage therapy""]","[""6/1/2020"",""6/8/2020""]",Retail,"[""Retail stores"",""Malls""]","[""6/1/2020"",""6/1/2020""]",Outdoor and recreation,"[""Beaches"",""Pools"",""Gyms"",""Campgrounds""]","[""5/22/2020"",""5/22/2020"",""6/1/2020"",""6/1/2020""]",Entertainment,"[""6/1/2020"",""6/1/2020""]","[""Museums, libraries, galleries, live performances"",""Casinos""]",,,,,,,,,,,,,,,,,,,,,,DE,5/31/2020,May 31,false,false,true,true,Shelter in place,3/24/2020,March 24,6/1/2020
District of Columbia,Food and drink,"[""Restaurants dining""]","[""6/22/2020""]",Houses of worship,[],"[""6/22/2020""]",,,,Personal care,"[""Barbershops, hair salons"",""Nail salons, waxing salons, spas""]","[""5/29/2020"",""6/22/2020""]",Retail,"[""Retail stores""]","[""6/22/2020""]",Outdoor and recreation,"[""Dog parks, golf courses, tennis courts, parks"",""Gyms"",""Pools""]","[""5/29/2020"",""6/22/2020"",""7/15/2020""]",Entertainment,"[""6/22/2020""]","[""Museums, libraries""]",,,,,,,,,,,,,,,,,,,Entertainment,"[""3/17/2020""]","[""Nightclubs""]",DC,5/29/2020,May 29,false,false,true,true,Stay-at-home order,4/1/2020,April 1,5/29/2020
Florida,Food and drink,"[""Restaurant dining""]","[""5/18/2020""]",Houses of worship,[],"[""""]",,,,Personal care,"[""Salons"",""Tattoo parlors, massage therapy, tanning salons, acupuncture in most counties""]","[""5/11/2020"",""6/5/2020""]",Retail,"[""Retail stores""]","[""5/18/2020""]",Outdoor and recreation,"[""Beaches, trails"",""Gyms""]","[""5/4/2020"",""5/18/2020""]",Entertainment,"[""5/4/2020"",""5/18/2020"",""6/5/2020""]","[""Sporting venues without spectators"",""Museums, libraries"",""Movie theaters, concert halls, bowling alleys in most counties""]",Food and drink,"[""Bars""]","[""6/26/2020""]",,,,,,,,,,,,,,,,,,,FL,5/4/2020,May 4,false,false,true,true,Stay-at-home order,4/3/2020,April 3,5/4/2020
